PM2.5,PM10,O3,NO2,SO2,CO,temperature,humidity,Hour,DayOfWeek,Is_Weekend,Month,Is_Heating,temperature_lag1,temperature_lag2,temperature_lag3,humidity_lag1,humidity_lag2,humidity_lag3,PM2.5_lag1,PM2.5_lag2,PM2.5_lag3,PM10_lag1,PM10_lag2,PM10_lag3,O3_lag1,O3_lag2,O3_lag3,NO2_lag1,NO2_lag2,NO2_lag3,SO2_lag1,SO2_lag2,SO2_lag3,CO_lag1,CO_lag2,CO_lag3,temp_rolling3_mean,humid_rolling3_mean,temp_rolling6_diff
44.0,72.0,12.0,38.0,3.0,0.9,-4.8,86.0,8,4,0,1,1,-6.0,-6.6,-6.8,90.0,92.0,93.0,48.0,51.0,52.0,77.0,80.0,81.0,8.0,6.0,5.0,43.0,46.0,47.0,3.0,3.0,3.0,1.0,1.1,1.2,-5.8,89.33333333333333,2.0
38.0,65.0,18.0,32.0,2.0,0.8,-2.7,80.0,9,4,0,1,1,-4.8,-6.0,-6.6,86.0,90.0,92.0,44.0,48.0,51.0,72.0,77.0,80.0,12.0,8.0,6.0,38.0,43.0,46.0,3.0,3.0,3.0,0.9,1.0,1.1,-4.5,85.33333333333333,4.1
32.0,56.0,25.0,25.0,2.0,0.7,-0.5,73.0,10,4,0,1,1,-2.7,-4.8,-6.0,80.0,86.0,90.0,38.0,44.0,48.0,65.0,72.0,77.0,18.0,12.0,8.0,32.0,38.0,43.0,2.0,3.0,3.0,0.8,0.9,1.0,-2.6666666666666665,79.66666666666667,6.3
27.0,48.0,32.0,20.0,2.0,0.6,1.6,66.0,11,4,0,1,1,-0.5,-2.7,-4.8,73.0,80.0,86.0,32.0,38.0,44.0,56.0,65.0,72.0,25.0,18.0,12.0,25.0,32.0,38.0,2.0,2.0,3.0,0.7,0.8,0.9,-0.5333333333333333,73.0,8.2
23.0,42.0,38.0,16.0,2.0,0.5,3.1,61.0,12,4,0,1,1,1.6,-0.5,-2.7,66.0,73.0,80.0,27.0,32.0,38.0,48.0,56.0,65.0,32.0,25.0,18.0,20.0,25.0,32.0,2.0,2.0,2.0,0.6,0.7,0.8,1.4000000000000001,66.66666666666667,9.1
20.0,38.0,42.0,14.0,2.0,0.5,3.9,58.0,13,4,0,1,1,3.1,1.6,-0.5,61.0,66.0,73.0,23.0,27.0,32.0,42.0,48.0,56.0,38.0,32.0,25.0,16.0,20.0,25.0,2.0,2.0,2.0,0.5,0.6,0.7,2.8666666666666667,61.666666666666664,8.7
19.0,36.0,45.0,13.0,2.0,0.4,4.2,56.0,14,4,0,1,1,3.9,3.1,1.6,58.0,61.0,66.0,20.0,23.0,27.0,38.0,42.0,48.0,42.0,38.0,32.0,14.0,16.0,20.0,2.0,2.0,2.0,0.5,0.5,0.6,3.733333333333334,58.333333333333336,6.9
20.0,37.0,44.0,14.0,2.0,0.4,4.0,57.0,15,4,0,1,1,4.2,3.9,3.1,56.0,58.0,61.0,19.0,20.0,23.0,36.0,38.0,42.0,45.0,42.0,38.0,13.0,14.0,16.0,2.0,2.0,2.0,0.4,0.5,0.5,4.033333333333334,57.0,4.7
23.0,41.0,39.0,17.0,2.0,0.5,3.2,61.0,16,4,0,1,1,4.0,4.2,3.9,57.0,56.0,58.0,20.0,19.0,20.0,37.0,36.0,38.0,44.0,45.0,42.0,14.0,13.0,14.0,2.0,2.0,2.0,0.4,0.4,0.5,3.8000000000000007,58.0,2.6
29.0,49.0,32.0,23.0,2.0,0.6,1.7,68.0,17,4,0,1,1,3.2,4.0,4.2,61.0,57.0,56.0,23.0,20.0,19.0,41.0,37.0,36.0,39.0,44.0,45.0,17.0,14.0,13.0,2.0,2.0,2.0,0.5,0.4,0.4,2.966666666666667,62.0,2.5
35.0,58.0,24.0,30.0,3.0,0.7,-0.3,75.0,18,4,0,1,1,1.7,3.2,4.0,68.0,61.0,57.0,29.0,23.0,20.0,49.0,41.0,37.0,32.0,39.0,44.0,23.0,17.0,14.0,2.0,2.0,2.0,0.6,0.5,0.4,1.5333333333333334,68.0,4.5
41.0,67.0,18.0,36.0,3.0,0.8,-2.0,82.0,19,4,0,1,1,-0.3,1.7,3.2,75.0,68.0,61.0,35.0,29.0,23.0,58.0,49.0,41.0,24.0,32.0,39.0,30.0,23.0,17.0,3.0,2.0,2.0,0.7,0.6,0.5,-0.20000000000000004,75.0,6.2
44.0,71.0,15.0,39.0,3.0,0.8,-3.3,85.0,20,4,0,1,1,-2.0,-0.3,1.7,82.0,75.0,68.0,41.0,35.0,29.0,67.0,58.0,49.0,18.0,24.0,32.0,36.0,30.0,23.0,3.0,3.0,2.0,0.8,0.7,0.6,-1.8666666666666665,80.66666666666667,7.3
46.0,74.0,13.0,41.0,3.0,0.9,-4.1,87.0,21,4,0,1,1,-3.3,-2.0,-0.3,85.0,82.0,75.0,44.0,41.0,35.0,71.0,67.0,58.0,15.0,18.0,24.0,39.0,36.0,30.0,3.0,3.0,3.0,0.8,0.8,0.7,-3.133333333333333,84.66666666666667,7.3
48.0,76.0,12.0,42.0,3.0,0.9,-4.6,88.0,22,4,0,1,1,-4.1,-3.3,-2.0,87.0,85.0,82.0,46.0,44.0,41.0,74.0,71.0,67.0,13.0,15.0,18.0,41.0,39.0,36.0,3.0,3.0,3.0,0.9,0.8,0.8,-4.0,86.66666666666667,6.3
49.0,78.0,11.0,43.0,3.0,1.0,-5.0,89.0,23,4,0,1,1,-4.6,-4.1,-3.3,88.0,87.0,85.0,48.0,46.0,44.0,76.0,74.0,71.0,12.0,13.0,15.0,42.0,41.0,39.0,3.0,3.0,3.0,0.9,0.9,0.8,-4.566666666666666,88.0,4.7
50.0,79.0,10.0,44.0,3.0,1.0,-5.3,90.0,0,5,1,1,1,-5.0,-4.6,-4.1,89.0,88.0,87.0,49.0,48.0,46.0,78.0,76.0,74.0,11.0,12.0,13.0,43.0,42.0,41.0,3.0,3.0,3.0,1.0,0.9,0.9,-4.966666666666667,89.0,3.3
51.0,81.0,9.0,45.0,3.0,1.1,-5.6,91.0,1,5,1,1,1,-5.3,-5.0,-4.6,90.0,89.0,88.0,50.0,49.0,48.0,79.0,78.0,76.0,10.0,11.0,12.0,44.0,43.0,42.0,3.0,3.0,3.0,1.0,1.0,0.9,-5.3,90.0,2.3
52.0,82.0,8.0,46.0,3.0,1.1,-5.8,92.0,2,5,1,1,1,-5.6,-5.3,-5.0,91.0,90.0,89.0,51.0,50.0,49.0,81.0,79.0,78.0,9.0,10.0,11.0,45.0,44.0,43.0,3.0,3.0,3.0,1.1,1.0,1.0,-5.566666666666666,91.0,1.7000000000000002
53.0,83.0,8.0,47.0,3.0,1.2,-6.0,92.0,3,5,1,1,1,-5.8,-5.6,-5.3,92.0,91.0,90.0,52.0,51.0,50.0,82.0,81.0,79.0,8.0,9.0,10.0,46.0,45.0,44.0,3.0,3.0,3.0,1.1,1.1,1.0,-5.8,91.66666666666667,1.4000000000000004
53.0,84.0,7.0,48.0,3.0,1.2,-6.2,93.0,4,5,1,1,1,-6.0,-5.8,-5.6,92.0,92.0,91.0,53.0,52.0,51.0,83.0,82.0,81.0,8.0,8.0,9.0,47.0,46.0,45.0,3.0,3.0,3.0,1.2,1.1,1.1,-6.0,92.33333333333333,1.2000000000000002
54.0,84.0,6.0,48.0,3.0,1.2,-6.3,93.0,5,5,1,1,1,-6.2,-6.0,-5.8,93.0,92.0,92.0,53.0,53.0,52.0,84.0,83.0,82.0,7.0,8.0,8.0,48.0,47.0,46.0,3.0,3.0,3.0,1.2,1.2,1.1,-6.166666666666667,92.66666666666667,1.0
53.0,83.0,7.0,47.0,3.0,1.1,-6.1,92.0,6,5,1,1,1,-6.3,-6.2,-6.0,93.0,93.0,92.0,54.0,53.0,53.0,84.0,84.0,83.0,6.0,7.0,8.0,48.0,48.0,47.0,3.0,3.0,3.0,1.2,1.2,1.2,-6.199999999999999,92.66666666666667,0.7000000000000002
50.0,80.0,9.0,44.0,3.0,1.0,-5.5,90.0,7,5,1,1,1,-6.1,-6.3,-6.2,92.0,93.0,93.0,53.0,54.0,53.0,83.0,84.0,84.0,7.0,6.0,7.0,47.0,48.0,48.0,3.0,3.0,3.0,1.1,1.2,1.2,-5.966666666666666,91.66666666666667,0.7999999999999998
46.0,75.0,13.0,39.0,3.0,0.9,-4.3,86.0,8,5,1,1,1,-5.5,-6.1,-6.3,90.0,92.0,93.0,50.0,53.0,54.0,80.0,83.0,84.0,9.0,7.0,6.0,44.0,47.0,48.0,3.0,3.0,3.0,1.0,1.1,1.2,-5.3,89.33333333333333,2.0
40.0,68.0,19.0,33.0,2.0,0.8,-2.2,80.0,9,5,1,1,1,-4.3,-5.5,-6.1,86.0,90.0,92.0,46.0,50.0,53.0,75.0,80.0,83.0,13.0,9.0,7.0,39.0,44.0,47.0,3.0,3.0,3.0,0.9,1.0,1.1,-4.0,85.33333333333333,4.1
34.0,59.0,26.0,26.0,2.0,0.7,0.0,73.0,10,5,1,1,1,-2.2,-4.3,-5.5,80.0,86.0,90.0,40.0,46.0,50.0,68.0,75.0,80.0,19.0,13.0,9.0,33.0,39.0,44.0,2.0,3.0,3.0,0.8,0.9,1.0,-2.1666666666666665,79.66666666666667,6.3
28.0,51.0,33.0,21.0,2.0,0.6,2.1,66.0,11,5,1,1,1,0.0,-2.2,-4.3,73.0,80.0,86.0,34.0,40.0,46.0,59.0,68.0,75.0,26.0,19.0,13.0,26.0,33.0,39.0,2.0,2.0,3.0,0.7,0.8,0.9,-0.03333333333333336,73.0,8.2
24.0,44.0,39.0,17.0,2.0,0.5,3.6,61.0,12,5,1,1,1,2.1,0.0,-2.2,66.0,73.0,80.0,28.0,34.0,40.0,51.0,59.0,68.0,33.0,26.0,19.0,21.0,26.0,33.0,2.0,2.0,2.0,0.6,0.7,0.8,1.9000000000000001,66.66666666666667,9.1
21.0,40.0,43.0,15.0,2.0,0.5,4.3,58.0,13,5,1,1,1,3.6,2.1,0.0,61.0,66.0,73.0,24.0,28.0,34.0,44.0,51.0,59.0,39.0,33.0,26.0,17.0,21.0,26.0,2.0,2.0,2.0,0.5,0.6,0.7,3.3333333333333335,61.666666666666664,8.6
20.0,38.0,46.0,14.0,2.0,0.4,4.6,56.0,14,5,1,1,1,4.3,3.6,2.1,58.0,61.0,66.0,21.0,24.0,28.0,40.0,44.0,51.0,43.0,39.0,33.0,15.0,17.0,21.0,2.0,2.0,2.0,0.5,0.5,0.6,4.166666666666667,58.333333333333336,6.8
21.0,39.0,45.0,15.0,2.0,0.4,4.4,57.0,15,5,1,1,1,4.6,4.3,3.6,56.0,58.0,61.0,20.0,21.0,24.0,38.0,40.0,44.0,46.0,43.0,39.0,14.0,15.0,17.0,2.0,2.0,2.0,0.4,0.5,0.5,4.433333333333333,57.0,4.6
24.0,43.0,40.0,18.0,2.0,0.5,3.6,61.0,16,5,1,1,1,4.4,4.6,4.3,57.0,56.0,58.0,21.0,20.0,21.0,39.0,38.0,40.0,45.0,46.0,43.0,15.0,14.0,15.0,2.0,2.0,2.0,0.4,0.4,0.5,4.2,58.0,2.4999999999999996
30.0,50.0,33.0,24.0,3.0,0.6,2.0,68.0,17,5,1,1,1,3.6,4.4,4.6,61.0,57.0,56.0,24.0,21.0,20.0,43.0,39.0,38.0,40.0,45.0,46.0,18.0,15.0,14.0,2.0,2.0,2.0,0.5,0.4,0.4,3.3333333333333335,62.0,2.5999999999999996
36.0,59.0,25.0,31.0,3.0,0.7,0.0,75.0,18,5,1,1,1,2.0,3.6,4.4,68.0,61.0,57.0,30.0,24.0,21.0,50.0,43.0,39.0,33.0,40.0,45.0,24.0,18.0,15.0,3.0,2.0,2.0,0.6,0.5,0.4,1.8666666666666665,68.0,4.6
42.0,68.0,19.0,37.0,3.0,0.8,-1.7,82.0,19,5,1,1,1,0.0,2.0,3.6,75.0,68.0,61.0,36.0,30.0,24.0,59.0,50.0,43.0,25.0,33.0,40.0,31.0,24.0,18.0,3.0,3.0,2.0,0.7,0.6,0.5,0.10000000000000002,75.0,6.3
45.0,72.0,16.0,40.0,3.0,0.8,-3.0,85.0,20,5,1,1,1,-1.7,0.0,2.0,82.0,75.0,68.0,42.0,36.0,30.0,68.0,59.0,50.0,19.0,25.0,33.0,37.0,31.0,24.0,3.0,3.0,3.0,0.8,0.7,0.6,-1.5666666666666667,80.66666666666667,7.4
47.0,75.0,14.0,42.0,3.0,0.9,-3.8,87.0,21,5,1,1,1,-3.0,-1.7,0.0,85.0,82.0,75.0,45.0,42.0,36.0,72.0,68.0,59.0,16.0,19.0,25.0,40.0,37.0,31.0,3.0,3.0,3.0,0.8,0.8,0.7,-2.8333333333333335,84.66666666666667,7.4
49.0,77.0,13.0,43.0,3.0,0.9,-4.3,88.0,22,5,1,1,1,-3.8,-3.0,-1.7,87.0,85.0,82.0,47.0,45.0,42.0,75.0,72.0,68.0,14.0,16.0,19.0,42.0,40.0,37.0,3.0,3.0,3.0,0.9,0.8,0.8,-3.6999999999999997,86.66666666666667,6.3
50.0,79.0,12.0,44.0,3.0,1.0,-4.7,89.0,23,5,1,1,1,-4.3,-3.8,-3.0,88.0,87.0,85.0,49.0,47.0,45.0,77.0,75.0,72.0,13.0,14.0,16.0,43.0,42.0,40.0,3.0,3.0,3.0,0.9,0.9,0.8,-4.266666666666667,88.0,4.7
51.0,80.0,11.0,45.0,3.0,1.0,-5.0,90.0,0,6,1,1,1,-4.7,-4.3,-3.8,89.0,88.0,87.0,50.0,49.0,47.0,79.0,77.0,75.0,12.0,13.0,14.0,44.0,43.0,42.0,3.0,3.0,3.0,1.0,0.9,0.9,-4.666666666666667,89.0,3.3
52.0,82.0,10.0,46.0,3.0,1.1,-5.3,91.0,1,6,1,1,1,-5.0,-4.7,-4.3,90.0,89.0,88.0,51.0,50.0,49.0,80.0,79.0,77.0,11.0,12.0,13.0,45.0,44.0,43.0,3.0,3.0,3.0,1.0,1.0,0.9,-5.0,90.0,2.3
53.0,83.0,9.0,47.0,3.0,1.1,-5.5,92.0,2,6,1,1,1,-5.3,-5.0,-4.7,91.0,90.0,89.0,52.0,51.0,50.0,82.0,80.0,79.0,10.0,11.0,12.0,46.0,45.0,44.0,3.0,3.0,3.0,1.1,1.0,1.0,-5.266666666666667,91.0,1.7000000000000002
54.0,84.0,8.0,48.0,3.0,1.2,-5.7,92.0,3,6,1,1,1,-5.5,-5.3,-5.0,92.0,91.0,90.0,53.0,52.0,51.0,83.0,82.0,80.0,9.0,10.0,11.0,47.0,46.0,45.0,3.0,3.0,3.0,1.1,1.1,1.0,-5.5,91.66666666666667,1.4000000000000004
54.0,85.0,8.0,49.0,3.0,1.2,-5.9,93.0,4,6,1,1,1,-5.7,-5.5,-5.3,92.0,92.0,91.0,54.0,53.0,52.0,84.0,83.0,82.0,8.0,9.0,10.0,48.0,47.0,46.0,3.0,3.0,3.0,1.2,1.1,1.1,-5.7,92.33333333333333,1.2000000000000002
55.0,85.0,7.0,49.0,3.0,1.2,-6.0,93.0,5,6,1,1,1,-5.9,-5.7,-5.5,93.0,92.0,92.0,54.0,54.0,53.0,85.0,84.0,83.0,8.0,8.0,9.0,49.0,48.0,47.0,3.0,3.0,3.0,1.2,1.2,1.1,-5.866666666666667,92.66666666666667,1.0
54.0,84.0,8.0,48.0,3.0,1.1,-5.8,92.0,6,6,1,1,1,-6.0,-5.9,-5.7,93.0,93.0,92.0,55.0,54.0,54.0,85.0,85.0,84.0,7.0,8.0,8.0,49.0,49.0,48.0,3.0,3.0,3.0,1.2,1.2,1.2,-5.900000000000001,92.66666666666667,0.7000000000000002
51.0,81.0,10.0,45.0,3.0,1.0,-5.2,90.0,7,6,1,1,1,-5.8,-6.0,-5.9,92.0,93.0,93.0,54.0,55.0,54.0,84.0,85.0,85.0,8.0,7.0,8.0,48.0,49.0,49.0,3.0,3.0,3.0,1.1,1.2,1.2,-5.666666666666667,91.66666666666667,0.7999999999999998
47.0,76.0,14.0,40.0,3.0,0.9,-4.0,86.0,8,6,1,1,1,-5.2,-5.8,-6.0,90.0,92.0,93.0,51.0,54.0,55.0,81.0,84.0,85.0,10.0,8.0,7.0,45.0,48.0,49.0,3.0,3.0,3.0,1.0,1.1,1.2,-5.0,89.33333333333333,2.0
41.0,69.0,20.0,34.0,2.0,0.8,-1.9,80.0,9,6,1,1,1,-4.0,-5.2,-5.8,86.0,90.0,92.0,47.0,51.0,54.0,76.0,81.0,84.0,14.0,10.0,8.0,40.0,45.0,48.0,3.0,3.0,3.0,0.9,1.0,1.1,-3.6999999999999997,85.33333333333333,4.1
35.0,60.0,27.0,27.0,2.0,0.7,0.3,73.0,10,6,1,1,1,-1.9,-4.0,-5.2,80.0,86.0,90.0,41.0,47.0,51.0,69.0,76.0,81.0,20.0,14.0,10.0,34.0,40.0,45.0,2.0,3.0,3.0,0.8,0.9,1.0,-1.8666666666666665,79.66666666666667,6.3
29.0,52.0,34.0,22.0,2.0,0.6,2.4,66.0,11,6,1,1,1,0.3,-1.9,-4.0,73.0,80.0,86.0,35.0,41.0,47.0,60.0,69.0,76.0,27.0,20.0,14.0,27.0,34.0,40.0,2.0,2.0,3.0,0.7,0.8,0.9,0.2666666666666666,73.0,8.2
25.0,45.0,40.0,18.0,2.0,0.5,3.9,61.0,12,6,1,1,1,2.4,0.3,-1.9,66.0,73.0,80.0,29.0,35.0,41.0,52.0,60.0,69.0,34.0,27.0,20.0,22.0,27.0,34.0,2.0,2.0,2.0,0.6,0.7,0.8,2.1999999999999997,66.66666666666667,9.1
22.0,41.0,44.0,16.0,2.0,0.5,4.6,58.0,13,6,1,1,1,3.9,2.4,0.3,61.0,66.0,73.0,25.0,29.0,35.0,45.0,52.0,60.0,40.0,34.0,27.0,18.0,22.0,27.0,2.0,2.0,2.0,0.5,0.6,0.7,3.633333333333333,61.666666666666664,8.6
21.0,39.0,47.0,15.0,2.0,0.4,4.9,56.0,14,6,1,1,1,4.6,3.9,2.4,58.0,61.0,66.0,22.0,25.0,29.0,41.0,45.0,52.0,44.0,40.0,34.0,16.0,18.0,22.0,2.0,2.0,2.0,0.5,0.5,0.6,4.466666666666666,58.333333333333336,6.800000000000001
22.0,40.0,46.0,16.0,2.0,0.4,4.7,57.0,15,6,1,1,1,4.9,4.6,3.9,56.0,58.0,61.0,21.0,22.0,25.0,39.0,41.0,45.0,47.0,44.0,40.0,15.0,16.0,18.0,2.0,2.0,2.0,0.4,0.5,0.5,4.733333333333333,57.0,4.6000000000000005
